SPORT,AVGCPM
WALKING,5
RUNNING,7
CYCLING,10
SWIMMING,8
ZUMBA,7
AEROBICS,6
YOGA,3
PILATES,3
TENNIS,6
BADMINTON,7
SQUASH,8
TABLE TENNIS,5
GOLF,4
HIKING,4
ROWING,8
ELLIPTICAL TRAINER,7
STEP AEROBICS,8
DANCE AEROBICS,7
SPINNING,8
BOOTCAMP,8
CROSSFIT,8
HIIT,9
KICKBOXING,8
MUAY THAI,8
JUI JITSU,7
TAEKWONDO,8
KARATE,7
BOXING,8
WEIGHTLIFTING,5
BODYBUILDING,4
POWERLIFTING,5
CALISTHENICS,6
PARKOUR,8
FREERUNNING,8
ROCK CLIMBING,7
SURFING,6
WAKEBOARDING,7
KITESURFING,8
WINDSURFING,7
SAILING,4
KAYAKING,5
CANOEING,5
WHITEWATER RAFTING,6
SCUBA DIVING,5
SNORKELING,4
ICE SKATING,6
ROLLER SKATING,6
HORSBACK RIDING,4
SOCCER,8
FOOTBALL,8
BASKETBALL,7
VOLLEYBALL,6
HANDBALL,7
RUGBY,8
AMERICAN FOOTBALL,8
BASEBALL,5
SOFTBALL,5
CRICKET,4
